prompt_id;prompt_type;prompts
1;wouldyou;Would you rather kill 5 or 6 people?
2;wouldyou;Would you rather prefer walking on burning embers for 10 minutes or bathing in a tub full of ice cubes for 2 hours?
3;wouldyou;Would you rather have a living room with ugly interior design or an ultra-minimalist decoration?
4;wouldyou;Would you rather be silly but the ability to talk or have universal knowledge but cannot communicate at all?
5;wouldyou;Would you rather get a dream vacation for two weeks or spend five days with anyone in the world but you must stay in your hometown forever?
6;wouldyou;Would you rather have an ordinary home in an extraordinary place or have an extraordinary home in an ordinary place?
7;wouldyou;Would you rather be a normal-average rockstar or a popular opera singer?
8;wouldyou;Would you rather be the wealthiest person on this earth or be an immortal creature that'll never die?
9;wouldyou;Would you rather always be heavily underdressed or abnormally overdressed?
10;wouldyou;Would you rather have 200 piercings on your body or tattoos all over your body but most especially your face?
11;wouldyou;Would you rather have mermaids be real or unicorns be real?
12;wouldyou;Would you rather be Bella from Twilight or Hermoine Granger?
13;wouldyou;Would you rather be very hairy all over and not be able to shave at all or have hair nowhere on your body not even on your private parts?
14;wouldyou;Would you rather always have to say everything that is on your mind or never be able to speak again?
15;wouldyou;Would you rather spend some quality time with family or spend some quality time alone?
16;wouldyou;Would you rather witness a volcano erupting or witness a meteor hitting earth?
17;wouldyou;Would you rather be completely bald for the rest of your life or have no eyebrows for the rest of your life?
18;wouldyou;Would you rather be able to peer into the future or change the past all together?
19;wouldyou;Would you rather never laugh again or never be able to use your handset again?
20;wouldyou;Would you rather lose $3000 or lose all of the contacts on your phone?
21;wouldyou;Would you rather be stung hard by a jellyfish or give up Facebook for a month?
22;wouldyou;Would you rather give up alcohol for 2 years or give up an iPhone X for a month?
23;wouldyou;Would you rather give up shopping for eight straight months or give up emoji for eight straight months?24;wouldyou;Would you rather go to the beach and that the water is at a good temperature to swim but that it rains OR go to the beach and the water is super cold but with the sun?25;wouldyou;Would you rather attend a boring course with a beautiful teacher or attend an interesting course with a profligate teacher?26;wouldyou;Would you rather prefer eating something beautiful but taste like shit or eat something that looks like garbage but with an exquisite flavor?27;wouldyou;Would you rather prefer starving to death or freezing to death?28;wouldyou;Would you rather have broccoli or French fries?29;wouldyou;Would you rather have unlimited undying love or unlimited wealth?30;wouldyou;Would you rather have unlimited respect or unlimited power?31;wouldyou;Would you rather have everything you've ever wanted but you die in two years or live your life as it is now?32;wouldyou;Would you rather be super hot moron or a very ugly genius?
33;wouldyou;Would you rather never be able to take an airplane again for life or never have internet access?
34;wouldyou;Would you rather incredibly rich but suffer depression or be poor but very happy?
35;wouldyou;Would you rather be super happy but be alone forever or unhappy but with the love of your life forever?
36;wouldyou;Would you rather be a good wizard or a bad vampire?
37;wouldyou;Would you rather be incredibly wealthy and live 500 years ago or poor but live today?
38;wouldyou;Would you rather be a blind person or a deaf person?
39;wouldyou;Would you rather eat healthily and not exercise or eat unhealthily but exercise regularly?
40;wouldyou;Would you rather be incredibly fast incredibly strong?
41;wouldyou;Would you rather look weak and powerless and actually be strong and look strong and powerful and actually be weak?
42;wouldyou;Would you rather be beautiful and dumb or be ugly and really smart?
43;wouldyou;Would you rather know the moment of death of the person you love the most or know the moment of your own death?
44;wouldyou;Would you rather fight against one human-sized Woodpecker or fight against three Alligator?
45;wouldyou;Would you rather have a human-sized Godzilla girlfriend or have a Godzilla-sized girlfriend?
46;wouldyou;Would you rather bring back someone you love who died or bring back someone famous who died?
47;wouldyou;Would you rather have a third ear or a third eye?
48;wouldyou;Would you rather be as tall as you are wide or as wide as you are tall?
49;wouldyou;Would you rather take a 50/50 chance at $10,000,000 or a guaranteed $1,000,000?
50;wouldyou;Would you rather be the first to die among your close friends or be the last one to die?
51;wouldyou;Would you rather have a lousy short term memory or a very terrible long term memory?
52;wouldyou;Would you rather have 3 wishes granted 10 years from now or 1 wish granted today alone?
53;wouldyou;Would you rather be a homeless person or live without your family and friends?
54;wouldyou;Would you rather be a parent or a child?
55;wouldyou;Would you rather dump someone else or be the person who is being dumped?
56;wouldyou;Would you rather be a great genius in a world of morons or a super moron in a world of geniuses?
57;wouldyou;Would you rather be ugly and marry a beautiful looking person or be beautiful and marry an ugly person?
58;wouldyou;Would you rather live one life that lasts 2,000 years or lives 20 lives that last 100 years each?
59;wouldyou;Would you rather a failure or never try at all?
60;wouldyou;Would you rather commit to a serious relationship that has no promises for the future or have a friends-with-benefits arrangement with someone who wants to marry you in 5 years?
61;wouldyou;Would you rather have a banana or a watermelon?
62;wouldyou;Would you rather have French fries or garlic bread?
63;wouldyou;Would you rather be good in your studies or in sports?
64;wouldyou;Would you rather help your Mom in setting up the table before dinner or after?
65;wouldyou;Would you rather go for an English speaking course or a computer course these summer holidays?
66;wouldyou;Would you rather want to be a super-fast like Spiderman or super strong like Batman?
67;wouldyou;Would you rather lick your shoe or eat your boogers?
68;wouldyou;Would you rather eat the full chicken bowl in front of your boss or send a dirty email to your company?
69;wouldyou;Would you rather have an entire stick of butter or a bowl of fresh cream?
70;wouldyou;Would you rather prefer being a fish that cannot swim or being a bird that does not know how to fly?
71;wouldyou;Would you rather be a lifetime homeless or being abandoned on an island?
72;wouldyou;Would you rather see the world in pixels or function as a battery with an autonomy of 12 hours, after that, you fall asleep instantly?
73;wouldyou;Would you rather live in the universe of Star Wars or live in the universe of Lord of the Rings?
74;wouldyou;Would you rather not use Instagram again or give up your handset?
75;wouldyou;Would you rather be completely bald or hairy all over?
76;wouldyou;Would you rather have a hot coffee in summers or the same meal whole year?
77;wouldyou;Would you rather win a trip to Europe or win a free Jaguar?
