prompt_id;prompt_type;prompt;;;
2020672-7;OY;Profiteam Oy;;;
2047614-5;OY;Ruskalinna Oy;;;
2012427-0;OY;Saaga Safarit Oy Ukkohalla;;;
2083316-5;OY;Oy SaariTours Ab;;;
2016470-7;OY;Nordic JD Oy;;;
2026329-7;OY;Resviaria Oy;;;
2048246-5;OY;Walkiakosken Höyrylaiva Oy;;;
2070414-4;OY;Seasong Travels Oy Ab;;;
2047506-2;OY;ProLoma Oy;;;
2062124-2;OY;IceWay Oy;;;
2041788-2;OY;Lapinmeren Melontakeskus Oy;;;
2015792-9;OY;Oy NordicTrip LTD;;;
2063227-5;OY;Suninlahti Oy;;;
2036165-5;OY;Simfonia Oy;;;
2017719-6;OY;Arctic Solitaire Oy Ltd;;;
2075303-4;OY;Uusnevalainen Oy;;;
2052822-4;OY;Iidan Kulta Oy;;;
2040328-8;OY;DestiMan Ab;;;
2041849-8;OY;Hallan Aurinko-Saaga Oy;;;
2067349-9;OY;RR Team Oy Lauri Riipinen;;;
2084079-5;OY;Karhu-Kuusamo Oy;;;
2073932-0;OY;Anuari Oy;;;
2074565-9;OY;Axtours.ax Ab;;;
2058010-2;OY;Avantia Investment Oy;;;
2012395-6;OY;AgriHusu Oy;;;
2033054-1;OY;NOPPE OY;;;
2015417-0;OY;Ounaksen Tunturiladut Oy;;;
2049396-5;OY;Primera Finland Oy;;;
2024657-7;OY;Väärnin Pappila Oy;;;
2022995-3;OY;JMA-House Oy;;;
2010280-5;OY;JM & JM Finland Oy;;;
2076110-6;OY;Backsplash Oy;;;
2046747-6;OY;Arctic Reindeer Oy;;;
2061260-2;OY;Oy Apassi Ab;;;
2028421-5;OY;True North Oy;;;
2011937-5;OY;Aikamatkat Oy;;;
2018794-1;OY;Skandinavika Oy;;;
2063716-4;OY;Saleena Oy;;;
2011700-3;OY;Hotelli Pariisin Ville Oy;;;
2043320-9;OY;Blitz Tours Oy;;;
2057829-9;OY;Golden SG Oy;;;
2076553-7;OY;Pororanta Oy;;;
2063155-5;OY;ProSanta Oy;;;
2016053-8;OY;Kaukarki Oy;;;
2071008-5;OY;Wendistour Oy;;;
2016384-3;OY;Palvelukauppa KodinOnni Oy;;;
2059454-7;OY;Apupalvelu Ma-Sa Oy;;;
2080352-1;OY;MielenRuokaa Oy;;;
2046766-0;OY;Päiväkoti Vihermetsän Muksut Oy;;;
2070527-8;OY;Kuronen Holding Oy;;;
2042775-7;OY;Aamusta Iltaan Palvelut Oy;;;
2076873-8;OY;Aivoliiton palvelut oy;;;
2029103-6;OK;Osuuskunta Tekemonia;;;
2037239-7;OY;Päiväkoti Viidakkovekarat Oy;;;
2072693-3;OY;Taidepäiväkoti Launeen Satakieli Oy;;;
2036747-5;OY;Oy Provida Ab;;;
2026965-6;OY;Elmerin Purje Oy;;;
2041907-9;OY;Kotihoito Lehmus Oy;;;
2081374-6;OY;Päiväkoti Piccolo Oy;;;
2071591-9;OY;Attendo Palvelukoti Auringonrusko Oy;;;
2061375-2;OY;Hoiva ja huolenpito Kultasiipi Oy;;;
2033685-5;OY;Länsivalmennus Oy;;;
2048907-7;OY;Aarrehoiva Oy;;;
2079664-0;OY;Hoivakymppi Oy;;;
2084176-3;OY;Lapinlahden Virkku Oy;;;
2044231-6;OY;Hämeen Kiinteistö- ja Nuorisopalvelut Oy;;;
2080408-1;OY;Monipalvelu Borgman Oy;;;
2046109-0;OY;Sirpan Kotisiivous Oy;;;
2026196-1;OY;SJ-Group Oy;;;
2063702-5;OY;Attendo Hoitokoti Apilaniitty Oy;;;
2071148-3;OY;Taiga Child Oy;;;
2065765-9;OY;Fenno Turvapalvelut Oy;;;
2014740-5;OY;CRD Systems Oy;;;
2040304-2;OY;Pohjanmaan Turvapalvelu Oy;;;
2016148-5;OY;Vercari Oy;;;
2062463-8;OY;WidExSe Oy;;;
2061261-0;OY;TOPek SERVICE OY;;;
2075304-2;OY;TopFire Oy;;;
2059299-8;OY;PAP Group Oy;;;
2066182-6;OY;Atlas Bouncer Oy;;;
2044199-7;OY;Control Rent Security Oy;;;
2069265-7;OY;Alandia Security Ab;;;
2080471-9;OY;Paffeg 434 Lry Oy;;;
2079517-0;OY;FLEXSAFE OY;;;
2059893-5;OY;Savonlinnan Vartiointikeskus Oy;;;
2013192-1;OY;MTP Suupohja Oy MTP Syd Ab;;;
2049865-1;OY;CORPSEC OY;;;
2038167-2;OY;Fin Security Services Oy;;;
2011502-4;OY;NYQS Oy;;;
2024392-3;OY;LapSec Oy;;;
2069336-9;OY;Viasec Oy;;;
2029969-5;OY;Novalane Oy;;;
2059393-1;OY;J PELDAN OY;;;
2023758-2;OY;Silta Security Group Oy;;;
2046362-7;OY;Aivon Oy;;;
2068199-0;OY;Nokia Investments Oy;;;
2065337-5;OY;Beddit Oy;;;
2058366-1;OY;Nokia International Oy;;;
2045281-3;OY;Stresstech Oy;;;
2024670-2;OY;Avaya Finland Oy;;;
2048248-1;OY;Geniva Oy;;;
2059727-0;OY;MariElla Labels Oy;;;
2061239-7;OY;Elcoteq Lohja Oy;;;
2070216-5;OY;Solaudio Oy;;;
2024879-1;OY;Powerset Oy;;;
2076540-6;OY;Vaakatalo Oy;;;
2072086-5;OY;OY SMARTEL ELECTRONICS AB;;;
2043841-3;OY;Real Flow Oy;;;
2058430-6;OY;Nokia Solutions and Networks Oy;;;
2067598-8;OY;FarmiMalli Oy;;;
2019580-2;OY;Rasti Technology Oy;;;
2063120-5;OY;Sempre Media Oy;;;
2021455-9;OY;Oy Hygienelab Finland Ltd;;;
2059128-2;OY;Triopool Oy LTD;;;
2062343-2;OY;Braincoolant Oy;;;
2038885-8;OY;Identoi Oy;;;
2042188-1;OY;K&P Hallinnointi Oy;;;
2046549-7;OY;Uprise Invest Oy;;;
2043460-7;OY;Ficode Oy;;;
2040560-3;OY;Mobiililiiga Oy;;;
2056471-9;OY;ICT-Asennus Oy Loimaa;;;
2019263-6;OY;MORS Software Oy;;;
2024656-9;OY;IT-Admina Oy;;;
2011433-9;OY;Sulake Oy;;;
2027311-0;OY;Assure Oy;;;
2066620-5;OY;IWA Finland Oy;;;
2066421-8;OY;Timpan ATK-palvelu Oy;;;
2020673-5;OY;Arctic Assets Oy;;;
2078664-5;OY;Refuture Ventures Ab, Mariehamn;;;
2083755-3;OY;MN-Ohjelmisto Oy;;;
2062330-1;OY;JAP Digital Oy;;;
2017832-4;OY;7signal Oy;;;
2075534-7;OY;Liquid Zone Oy;;;
2046560-6;OY;Finwe Oy;;;
2011214-9;OY;INAF Oy;;;
2076519-0;OY;MagiCAD Group Oy;;;
2032494-2;OY;ScanRef Oy;;;
2062380-3;OY;Sanalogia Oy;;;
2044012-6;OY;Ecraft Etima Oy Ab;;;
2058355-7;OY;Android Consulting Oy;;;
2073892-6;OY;Pasatel Oy;;;
2012847-4;OY;MobiTizer Oy;;;
2071826-3;OY;Rising Edge Solutions Oy;;;
2068386-5;OY;Suomen IT-Tiimi Oy;;;
2041682-0;OY;Viilto Oy;;;
2044366-9;OY;EmCe Enterprise Solutions Oy;;;
2017082-4;OY;DB-Tietosuunnittelu Oy;;;
2051596-8;OY;Matlok Oy;;;
2014877-4;OY;2 Sides Consulting Oy;;;
2079787-0;OY;MM-Core Oy;;;
2059078-1;OY;Suomen Toimistotuki Oy;;;
2041488-4;OY;Mysema Oy;;;
2015867-3;OY;Prove Expertise Oy;;;
2013198-0;OY;Cultivation Lab Oy;;;
2059972-7;OY;NED Software Consulting Oy Ltd;;;
2036393-3;OY;Pakko jaksaa O.N. Oy;;;
2064704-7;OY;Alava Oy;;;
2075308-5;OY;iTive Oy;;;
2082935-0;OY;Tentacle Networks Oy;;;
2014474-9;OY;IDT messaging Oy;;;
2028502-3;OY;Semantic Solutions Oy;;;
2029266-1;OY;Tifix Oy;;;
2011844-4;OY;Tikle Oy;;;
2080183-3;OY;Luminous Ground Management Oy;;;
2060689-4;OY;Master Management Finland Oy;;;
2041601-1;OY;Pihlajalinna Solutions Oy;;;
2025257-1;OY;Oy OpenWay Ltd;;;
2080001-3;OY;Tele Scope Audio Oy;;;
2044097-8;OY;MoonConnect Oy;;;
2043628-2;OY;Tuotantoyhtiö Tuokio Oy;;;
2046976-2;OY;Kabuto Oy;;;
2017544-9;OY;Fixup Software Oy;;;
2040509-9;OY;Exove Oy;;;
2056414-5;OY;Diligent Security Oy;;;
2010674-2;OY;Ventos Oy;;;
2071472-1;OY;Solhub Oy;;;
2067981-5;OY;Solute Oy;;;
2048696-8;OY;Precond Oy;;;
2072688-8;OY;Avoin Suomi Oy;;;
2044092-7;OY;OkaSW Oy;;;
2037362-1;OY;Festum IT-Palvelut Oy;;;
2036083-9;OY;LUMi Smart Sport Solutions OY;;;
2054043-4;OY;Endgame Software Oy;;;
2053353-3;OY;Woima-Wirta Oy;;;
