prompt_id	prompt_type	prompt													
1	neverhave	Never have I ever played hooky from school or work													
2	neverhave	Never have I ever rode a motorcycle													
3	neverhave	Never have I ever lost a bet													
4	neverhave	Never have I ever went skinny-dipping													
5	neverhave	Never have I ever cheated on someone													
6	neverhave	Never have I ever sang karaoke													
7	neverhave	Never have I ever broken a bone													
8	neverhave	Never have I ever lived alone													
9	neverhave	Never have I ever been on a boat													
10	neverhave	Never have I ever drove a stick shift													
11	neverhave	Never have I ever used a fake ID													
12	neverhave	Never have I ever broken up with someone													
13	neverhave	Never have I ever got seriously hungover													
14	neverhave	Never have I ever kissed someone in public													
15	neverhave	Never have I ever fought in public													
16	neverhave	Never have I ever skipped out on a bill													
17	neverhave	Never have I ever won the lottery													
18	neverhave	Never have I ever had to go to court													
19	neverhave	Never have I ever been to a destination wedding													
20	neverhave	Never have I ever lied to a boss													
21	neverhave	Never have I ever crashed a wedding													
22	neverhave	Never have I ever kissed more than one person in 24 hours													
23	neverhave	Never have I ever pranked someone													
24	neverhave	Never have I ever had a one-night stand													
25	neverhave	Never have I ever regifted a gift													
26	neverhave	Never have I ever trolled someone on social media													
27	neverhave	Never have I ever climbed out of a window													
28	neverhave	Never have I ever drove over a curb													
29	neverhave	Never have I ever laughed so hard I, um, peed my pants as an adult													
30	neverhave	Never have I ever got on the wrong train or bus													
31	neverhave	Never have I ever sent a sext													
32	neverhave	Never have I ever cursed in a place of worship													
33	neverhave	Never have I ever snooped through someone’s stuff													
34	neverhave	Never have I ever tried marijuana													
35	neverhave	Never have I ever went 24 hours without showering													
36	neverhave	Never have I ever had to take a walk of shame													
37	neverhave	Never have I ever went on a solo vacation													
38	neverhave	Never have I ever went on a road trip													
39	neverhave	Never have I ever ate an entire pizza by myself													
40	neverhave	Never have I ever saved a life													
41	neverhave	Never have I ever got a tattoo													
42	neverhave	Never have I ever wanted to be on a reality TV show													
43	neverhave	Never have I ever started a fire													
44	neverhave	Never have I ever got stopped by airport security													
45	neverhave	Never have I ever went viral online													
46	neverhave	Never have I ever left gum in a public space													
47	neverhave	Never have I ever slept outdoors for an entire night													
48	neverhave	Never have I ever ran a marathon													
49	neverhave	Never have I ever given/received a lap dance													
50	neverhave	Never have I ever made a speech in front of 100 people or more													
51	neverhave	"Never have I ever ""relieved myself"" in a public pool"													
